frame,DetObj#,x,y,z,v,snr,noise
33,0,-35.11378860473633,33.96662902832031,0.0,0.0,179,672
34,0,-35.11378860473633,33.96662902832031,0.0,0.0,159,691
35,0,-35.11378860473633,33.96662902832031,0.0,0.0,191,665
36,0,-38.80836868286133,9.936517715454102,0.0,0.0,166,662
36,1,-35.11378860473633,33.96662902832031,0.0,0.0,177,675
37,0,-35.11378860473633,33.96662902832031,0.0,0.0,173,682
38,0,-33.587100982666016,35.476985931396484,0.0,0.0,180,670
39,0,-38.80836868286133,9.936517715454102,0.0,0.0,154,656
39,1,-35.11378860473633,33.96662902832031,0.0,0.0,176,673
40,0,-35.11378860473633,33.96662902832031,0.0,0.0,188,667
41,0,-33.587100982666016,35.476985931396484,0.0,0.0,173,674
42,0,-35.11378860473633,33.96662902832031,0.0,0.0,162,692
43,0,-38.80836868286133,9.936517715454102,0.0,0.0,161,659
43,1,-33.587100982666016,35.476985931396484,0.0,0.0,165,685
44,0,-35.11378860473633,33.96662902832031,0.0,0.0,175,680
45,0,-38.80836868286133,9.936517715454102,0.0,0.0,175,650
45,1,-33.587100982666016,35.476985931396484,0.0,0.0,186,671
46,0,-35.11378860473633,33.96662902832031,0.0,0.0,191,664
47,0,-33.587100982666016,35.476985931396484,0.0,0.0,168,682
48,0,-35.11378860473633,33.96662902832031,0.0,0.0,182,669
49,0,-33.587100982666016,35.476985931396484,0.0,0.0,159,691
50,0,-35.11378860473633,33.96662902832031,0.0,0.0,175,679
51,0,-33.587100982666016,35.476985931396484,0.0,0.0,176,672
52,0,-35.11378860473633,33.96662902832031,0.0,0.0,173,682
53,0,-33.587100982666016,35.476985931396484,0.0,0.0,181,672
54,0,-35.11378860473633,33.96662902832031,0.0,0.0,183,672
55,0,-35.11378860473633,33.96662902832031,0.0,0.0,174,679
56,0,-33.587100982666016,35.476985931396484,0.0,0.0,172,675
57,0,-35.11378860473633,33.96662902832031,0.0,0.0,178,671
58,0,-33.587100982666016,35.476985931396484,0.0,0.0,180,672
59,0,-33.587100982666016,35.476985931396484,0.0,0.0,167,685
60,0,-35.11378860473633,33.96662902832031,0.0,0.0,167,683
61,0,-14.427186965942383,9.177595138549805,0.0,0.0,151,676
61,1,-33.587100982666016,35.476985931396484,0.0,0.0,186,666
62,0,-36.640472412109375,32.313865661621094,0.0,0.0,179,673
63,0,-35.11378860473633,33.96662902832031,0.0,0.0,175,671
64,0,-33.587100982666016,35.476985931396484,0.0,0.0,178,671
65,0,-33.587100982666016,35.476985931396484,0.0,0.0,191,660
66,0,-33.587100982666016,35.476985931396484,0.0,0.0,180,671
67,0,-35.11378860473633,33.96662902832031,0.0,0.0,181,676
68,0,-35.11378860473633,33.96662902832031,0.0,0.0,186,672
69,0,-35.11378860473633,33.96662902832031,0.0,0.0,172,680
70,0,-41.648006439208984,10.663573265075684,0.0,0.0,153,676
70,1,-24.18271255493164,35.54524612426758,0.0,0.0,153,676
70,2,-33.587100982666016,35.476985931396484,0.0,0.0,168,686
71,0,-35.11378860473633,33.96662902832031,0.0,0.0,182,672
72,0,-35.11378860473633,33.96662902832031,0.0,0.0,181,671
73,0,-35.11378860473633,33.96662902832031,0.0,0.0,175,678
74,0,-35.11378860473633,33.96662902832031,0.0,0.0,176,670
75,0,-33.587100982666016,35.476985931396484,0.0,0.0,188,663
76,0,-36.640472412109375,32.313865661621094,0.0,0.0,160,691
77,0,-35.11378860473633,33.96662902832031,0.0,0.0,166,684
78,0,-35.11378860473633,33.96662902832031,0.0,0.0,188,666
79,0,-35.11378860473633,33.96662902832031,0.0,0.0,180,666
80,0,-35.11378860473633,33.96662902832031,0.0,0.0,172,677
81,0,-35.11378860473633,33.96662902832031,0.0,0.0,168,681
82,0,-35.11378860473633,33.96662902832031,0.0,0.0,175,673
83,0,-33.587100982666016,35.476985931396484,0.0,0.0,176,684
84,0,-33.587100982666016,35.476985931396484,0.0,0.0,184,669
85,0,-35.11378860473633,33.96662902832031,0.0,0.0,180,675
86,0,-35.11378860473633,33.96662902832031,0.0,0.0,178,677
